-75.27362,39.8763,0.2869,
285,17604 ,25706 ,Aggravated Assault No Firearm,2728
286,40145 ,30263 ,Burglary Residential,2741
287,43630 ,19922 ,Motor Vehicle Theft,2750
288,41251 ,13896 ,Theft from Vehicle,2757
289,56543 ,41073 ,Robbery No Firearm,2762
290,85279 ,71335 ,Theft from Vehicle,2762
291,14782 ,28620 ,Burglary Residential,2763
292,78951 ,69637 ,Burglary Residential,2772
293,58921 ,41186 ,Robbery No Firearm,2789
294,40206 ,21182 ,Robbery Firearm,2795
295,41944 ,16440 ,Robbery Firearm,2803
296,41474 ,45024 ,Burglary Residential,2810
297,48495 ,31040 ,Theft from Vehicle,2812
298,42386 ,41972 ,Robbery No Firearm,2824
299,31343 ,17723 ,Aggravated Assault No Firearm,2841
300,35177 ,38718 ,Aggravated Assault No Firearm,2857
301,86539 ,57880 ,Robbery Firearm,2875
302,34449 ,21813 ,Burglary Non-Residential,2883
303,81075 ,52584 ,Robbery Firearm,2891
304,76863 ,58389 ,Aggravated Assault No Firearm,2899
305,31343 ,17723 ,Aggravated Assault No Firearm,2932
306,63612 ,48231 ,Burglary Residential,2934
307,10955 ,27600 ,Robbery Firearm,2935
308,67103 ,50462 ,Burglary Residential,2941
309,10621 ,29129 ,Aggravated Assault No Firearm,2948
310,35229 ,60191 ,Rape,2948
311,12318 ,37954 ,Aggravated Assault No Firearm,2986
312,81386 ,50747 ,Burglary Non-Residential,2994
313,51413 ,37210 ,Theft from Vehicle,3044
314,30256 ,59488 ,Aggravated Assault No Firearm,3060
315,69324 ,55838 ,Burglary Residential,3060
316,40782 ,34121 ,Theft from Vehicle,3213
317,50997 ,52963 ,Motor Vehicle Theft,3252
318,52392 ,34148 ,Theft from Vehicle,3266
319,55131 ,41983 ,Motor Vehicle Theft,3349
320,65375 ,54082 ,Motor Vehicle Theft,3351
321,23483 ,28864 ,Theft from Vehicle,3352
322,22474 ,30415 ,Burglary Non-Residential,3378
323,9853 ,30259 ,Burglary Residential,3392
324,39498 ,50537 ,Burglary Non-Residential,3399
325,21470 ,48850 ,Motor Vehicle Theft,3404
326,40390 ,14415 ,Theft from Vehicle,3408
327,22585 ,48517 ,Theft from Vehicle,3409
328,36393 ,33362 ,Theft from Vehicle,3412
329,22901 ,66239 ,Burglary Residential,3413
330,1363 ,36112 ,Aggravated Assault Firearm,3421
331,62402 ,42640 ,Burglary Non-Residential,3427
332,60698 ,57561 ,Motor Vehicle Theft,3431
333,30357 ,35030 ,Theft from Vehicle,3439
334,64601 ,54746 ,Theft from Vehicle,3444
335,56878 ,38748 ,Burglary Residential,3451
336,22091 ,32605 ,Burglary Residential,3453
337,57093 ,35629 ,Burglary Non-Residential,3458
338,38585 ,42291 ,Burglary Residential,3465
339,12368 ,30849 ,Aggravated Assault No Firearm,3483
340,60379 ,40171 ,Theft from Vehicle,3487
341,90128 ,67525 ,Motor Vehicle Theft,3514
342,44937 ,31757 ,Theft from Vehicle,3523
343,18533 ,31505 ,Burglary Residential,3545
344,49559 ,48579 ,Robbery No Firearm,3545
345,61567 ,40556 ,Theft from Vehicle,3549
346,51842 ,56535 ,Aggravated Assault No Firearm,3552
347,66349 ,51327 ,Robbery Firearm,3556
348,20059 ,23054 ,Theft from Vehicle,3559
349,39147 ,36719 ,Burglary Residential,3561
350,39147 ,36719 ,Burglary Residential,3561
351,12072 ,36795 ,Aggravated Assault No Firearm,3569
352,13003 ,27069 ,Motor Vehicle Theft,3576
353,45779 ,59028 ,Burglary Residential,3577
354,29316 ,28337 ,Burglary Residential,3597
355,22629 ,52659 ,Theft from Vehicle,3611
356,15738 ,28763 ,Burglary Residential,3616
357,32979 ,54172 ,Aggravated Assault No Firearm,3618
358,40595 ,58190 ,Robbery No Firearm,3624
359,65008 ,58768 ,Robbery Firearm,3627
360,47853 ,46644 ,Motor Vehicle Theft,3634
361,15730 ,19120 ,Burglary Residential,3637
362,32979 ,54172 ,Aggravated Assault No Firearm,3669
363,12716 ,26674 ,Aggravated Assault No Firearm,3675
364,85656 ,81321 ,Motor Vehicle Theft,3682
365,53933 ,55280 ,Aggravated Assault No Firearm,3688
366,40720 ,26203 ,Robbery No Firearm,3689
367,54787 ,49364 ,Motor Vehicle Theft,3702
368,15049 ,26463 ,Burglary Residential,3713
369,9249 ,31493 ,Aggravated Assault Firearm,3715
370,52846 ,49972 ,Motor Vehicle Theft,3715
371,44601 ,23992 ,Theft from Vehicle,3728
372,43129 ,51214 ,Robbery No Firearm,3732
373,36177 ,44641 ,Burglary Residential,3733
374,63097 ,40507 ,Motor Vehicle Theft,3735
375,39986 ,20056 ,Aggravated Assault No Firearm,3736
376,30326 ,39748 ,Burglary Residential,3740
377,47870 ,32287 ,Robbery No Firearm,3762
378,67338 ,50167 ,Robbery Firearm,3787
379,15117 ,19605 ,Theft from Vehicle,3794
380,57960 ,45002 ,Theft from Vehicle,3813
381,20440 ,53407 ,Burglary Residential,3818
382,37968 ,55164 ,Aggravated Assault No Firearm,3824
383,54433 ,48989 ,Burglary Residential,3828
384,54894 ,54647 ,Motor Vehicle Theft,3836
385,50695 ,56385 ,Burglary Residential,3846
386,38890 ,23008 ,Motor Vehicle Theft,3848
387,30650 ,38724 ,Burglary Residential,3859
388,13691 ,16499 ,Robbery Firearm,3861
389,19222 ,24874 ,Aggravated Assault No Firearm,3875
390,59638 ,36959 ,Aggravated Assault No Firearm,3879
391,17008 ,53078 ,Theft from Vehicle,3888
392,39256 ,24691 ,Motor Vehicle Theft,3894
393,14976 ,18074 ,Motor Vehicle Theft,3895
394,16466 ,28128 ,Burglary Residential,3899
395,60634 ,47344 ,Motor Vehicle Theft,3908
396,47153 ,29990 ,Theft from Vehicle,3916
397,50076 ,41514 ,Motor Vehicle Theft,3917
398,38863 ,35414 ,Theft from Vehicle,3921
399,65551 ,48289 ,Aggravated Assault No Firearm,3932
400,37713 ,56714 ,Aggravated Assault No Firearm,3943
401,58755 ,39368 ,Aggravated Assault No Firearm,3973
402,35768 ,23419 ,Theft from Vehicle,3986
403,38555 ,46315 ,Burglary Residential,4001
404,66559 ,52716 ,Burglary Residential,4007
405,10990 ,12570 ,Aggravated Assault No Firearm,4012
406,65551 ,48289 ,Theft from Vehicle,4018
407,46392 ,57143 ,Aggravated Assault Firearm,4019
408,38387 ,17250 ,Motor Vehicle Theft,4023
409,15231 ,31584 ,Aggravated Assault No Firearm,4045
410,40447 ,19705 ,Robbery Firearm,4047
411,64838 ,47502 ,Robbery No Firearm,4047
412,58755 ,39368 ,Aggravated Assault No Firearm,4049
413,10790 ,17279 ,Theft from Vehicle,4061
414,50625 ,54634 ,Robbery Firearm,4068
415,34975 ,18156 ,Burglary Residential,4069
416,45001 ,63058 ,Burglary Residential,4070
417,22085 ,69648 ,Burglary Residential,4087
418,65551 ,48289 ,Robbery No Firearm,4088
419,13456 ,29480 ,Theft from Vehicle,4092
420,18119 ,21716 ,Aggravated Assault Firearm,4095
421,28068 ,60953 ,Burglary Residential,4095
422,96864 ,86103 ,Burglary Residential,4098
423,40508 ,44421 ,Robbery Firearm,4109
424,63958 ,56798 ,Robbery No Firearm,4109
425,55465 ,40883 ,Robbery Firearm,4114
426,89526 ,54952 ,Aggravated Assault No Firearm,4127
427,54311 ,41523 ,Robbery Firearm,4147
428,37359 ,22205 ,Motor Vehicle Theft,4152
429,43074 ,13126 ,Robbery Firearm,4152
430,41489 ,41001 ,Robbery Firearm,4154
431,20424 ,25285 ,Robbery Firearm,4184
